Data	Hora	TemperaturaCelsius	Umidade
09/09/2020	14:12:33	0,00	0,00%
09/09/2020	14:12:34	5,00	38,00%
09/09/2020	14:12:35	6,00	38,00%
09/09/2020	14:12:36	6,00	38,00%
09/09/2020	14:12:37	5,00	38,00%
09/09/2020	14:12:38	5,00	38,00%
09/09/2020	14:12:39	19,00	51,00%
09/09/2020	14:12:40	20,00	50,00%
09/09/2020	14:12:41	12,00	43,00%
09/09/2020	14:12:42	0,00	33,00%
09/09/2020	14:12:43	-15,00	20,00%
09/09/2020	14:12:44	-20,00	16,00%
09/09/2020	14:12:45	-1,00	32,00%
09/09/2020	14:12:46	-2,00	32,00%
09/09/2020	14:12:47	-39,00	0,00%
09/09/2020	14:12:48	-40,00	0,00%
09/09/2020	14:12:49	-23,00	12,00%
09/09/2020	14:12:50	-7,00	26,00%
09/09/2020	14:12:51	18,00	48,00%
09/09/2020	14:12:52	24,00	55,00%
09/09/2020	14:12:53	-1,00	32,00%
09/09/2020	14:12:54	-29,00	8,00%
09/09/2020	14:12:55	-40,00	0,00%
09/09/2020	14:12:56	-40,00	0,00%
09/09/2020	14:12:57	-21,00	15,00%
09/09/2020	14:12:58	-2,00	32,00%
09/09/2020	14:12:59	-1,00	32,00%
09/09/2020	14:13:00	-34,00	4,00%
09/09/2020	14:13:01	-40,00	0,00%
09/09/2020	14:13:02	-24,00	12,00%
09/09/2020	14:13:03	-19,00	17,00%
09/09/2020	14:13:04	-34,00	5,00%
09/09/2020	14:13:05	-9,00	25,00%
09/09/2020	14:13:06	16,00	46,00%
09/09/2020	14:13:07	39,00	66,00%
09/09/2020	14:13:08	38,00	66,00%
09/09/2020	14:13:09	59,00	84,00%
09/09/2020	14:13:10	37,00	63,00%
09/09/2020	14:13:11	13,00	44,00%
09/09/2020	14:13:12	12,00	43,00%
09/09/2020	14:13:13	37,00	64,00%
09/09/2020	14:13:14	33,00	60,00%
09/09/2020	14:13:15	34,00	60,00%
09/09/2020	14:13:16	24,00	53,00%
09/09/2020	14:13:17	25,00	53,00%
09/09/2020	14:13:18	7,00	39,00%
09/09/2020	14:13:19	9,00	40,00%
09/09/2020	14:13:20	8,00	41,00%
09/09/2020	14:13:21	-19,00	18,00%
15/11/2020	08:02:32	0,00	0,00%
15/11/2020	08:02:33	-39,00	0,00%
15/11/2020	08:02:34	-39,00	0,00%
15/11/2020	08:02:35	-38,00	0,00%
15/11/2020	08:02:36	-14,00	21,00%
15/11/2020	08:02:37	0,00	32,00%
15/11/2020	08:02:38	3,00	36,00%
15/11/2020	08:02:39	-40,00	0,00%
15/11/2020	08:02:40	-40,00	0,00%
15/11/2020	08:02:41	-13,00	22,00%
15/11/2020	08:02:42	9,00	40,00%
15/11/2020	08:02:43	16,00	46,00%
15/11/2020	08:02:44	-35,00	3,00%
15/11/2020	08:02:45	-40,00	0,00%
15/11/2020	08:02:46	-40,00	0,00%
15/11/2020	08:02:47	-40,00	0,00%
15/11/2020	08:02:48	-35,00	4,00%
15/11/2020	08:02:49	-11,00	24,00%
15/11/2020	08:02:50	-35,00	4,00%
